TubeNo,ShaftNo,TB1,TB2,TB3,TC1,TC2,TC3,TD1,TD2,TD3,SA1,SA2,SA3,SB1,SB2,SB3,SC1,SC2,SC3,BallGrade,BallSize
A0067885B3 171958 T0137A 200910,A0067885B3 171958 S0137A 200910,16.526,16.554,16.547,16.53,16.51,16.543,16.545,16.532,16.546,24.863,24.86,24.857,24.87,24.869,24.871,24.86,24.856,24.859,2,4.175
A0067885B3 171958 T0138A 200910,A0067885B3 171958 S0138A 200910,16.544,16.568,16.547,16.52,16.519,16.527,16.526,16.54,16.548,24.853,24.844,24.849,24.86,24.862,24.862,24.853,24.854,24.852,2,4.175
A0067885B3 171958 T0139A 200910,A0067885B3 171958 S0139A 200910,16.519,16.543,16.531,16.464,16.493,16.483,16.507,16.489,16.502,24.858,24.858,24.853,24.867,24.872,24.866,24.861,24.859,24.855,1,4.172
A0067885B3 171958 T0140A 200910,A0067885B3 171958 S0140A 200910,16.541,16.513,16.54,16.47,16.451,16.468,16.503,16.448,16.496,24.863,24.859,24.855,24.866,24.87,24.866,24.854,24.854,24.853,7,4.186
A0067885B3 171958 T0141A 200910,A0067885B3 171958 S0141A 200910,16.557,16.559,16.542,16.546,16.509,16.527,16.555,16.533,16.546,24.868,24.863,24.862,24.874,24.874,24.872,24.864,24.861,24.859,7,4.186
A0067885B3 171958 T0142A 200910,A0067885B3 171958 S0142A 200910,16.543,16.568,16.564,16.527,16.514,16.54,16.552,16.533,16.546,24.858,24.86,24.855,24.869,24.871,24.87,24.859,24.859,24.855,2,4.175
A0067885B3 171958 T0143A 200910,A0067885B3 171958 S0143A 200910,16.532,16.575,16.543,16.535,16.52,16.545,16.544,16.554,16.552,24.861,24.861,24.855,24.87,24.876,24.872,24.858,24.856,24.861,2,4.175
A0067885B3 171958 T0144A 200910,A0067885B3 171958 S0144A 200910,16.571,16.589,16.556,16.549,16.537,16.534,16.56,16.542,16.564,24.859,24.856,24.85,24.864,24.87,24.867,24.855,24.858,24.852,2,4.175
A0067885B3 171958 T0145A 200910,A0067885B3 171958 S0145A 200910,16.555,16.57,16.546,16.504,16.498,16.511,16.533,16.495,16.538,24.861,24.86,24.856,24.869,24.872,24.871,24.86,24.858,24.856,2,4.175
A0067885B3 171958 T0146A 200910,A0067885B3 171958 S0146A 200910,16.532,16.531,16.525,16.525,16.452,16.479,16.541,16.464,16.507,24.854,24.855,24.85,24.861,24.867,24.86,24.853,24.855,24.849,7,4.186
A0067885B3 171958 T0147A 200910,A0067885B3 171958 S0147A 200910,16.527,16.542,16.53,16.549,16.461,16.516,16.556,16.479,16.537,24.862,24.86,24.854,24.868,24.873,24.868,24.858,24.858,24.855,7,4.186
A0067885B3 171958 T0148A 200910,A0067885B3 171958 S0148A 200910,16.511,16.54,16.529,16.496,16.455,16.513,16.516,16.475,16.53,24.866,24.855,24.849,24.871,24.872,24.864,24.863,24.861,24.853,2,4.175
A0067885B3 171958 T0149A 200910,A0067885B3 171958 S0149A 200910,16.551,16.582,16.511,16.581,16.551,16.459,16.579,16.57,16.495,24.861,24.854,24.851,24.863,24.862,24.862,24.85,24.851,24.842,7,4.186
A0067885B3 171958 T0150A 200910,A0067885B3 171958 S0150A 200910,16.529,16.532,16.51,16.522,16.451,16.489,16.541,16.469,16.509,24.861,24.859,24.853,24.872,24.873,24.869,24.86,24.863,24.859,7,4.186
A0067885B3 171958 T0151A 200910,A0067885B3 171958 S0151A 200910,16.54,16.548,16.529,16.504,16.493,16.486,16.526,16.486,16.517,24.863,24.866,24.856,24.868,24.876,24.872,24.859,24.86,24.858,7,4.186
A0067885B3 171958 T0152A 200910,A0067885B3 171958 S0152A 200910,16.538,16.564,16.523,16.521,16.474,16.495,16.549,16.475,16.522,24.863,24.857,24.859,24.865,24.871,24.868,24.857,24.858,24.855,7,4.186
A0067885B3 171958 T0153A 200910,A0067885B3 171958 S0153A 200910,16.554,16.563,16.535,16.52,16.507,16.5,16.521,16.515,16.527,24.862,24.859,24.857,24.873,24.877,24.873,24.861,24.864,24.863,2,4.175
A0067885B3 171958 T0154A 200910,A0067885B3 171958 S0154A 200910,16.554,16.589,16.538,16.565,16.521,16.543,16.585,16.54,16.552,24.861,24.856,24.855,24.867,24.869,24.866,24.858,24.858,24.855,7,4.186
A0067885B3 171958 T0155A 200910,A0067885B3 171958 S0155A 200910,16.561,16.574,16.544,16.539,16.518,16.493,16.546,16.511,16.537,24.871,24.868,24.861,24.881,24.881,24.879,24.869,24.867,24.865,7,4.186
A0067885B3 171958 T0156A 200910,A0067885B3 171958 S0156A 200910,16.546,16.552,16.522,16.513,16.474,16.497,16.54,16.475,16.506,24.866,24.863,24.862,24.872,24.878,24.872,24.862,24.864,24.86,7,4.186
A0067885B3 171958 T0157A 200910,A0067885B3 171958 S0157A 200910,16.537,16.538,16.509,16.514,16.458,16.489,16.532,16.458,16.519,24.86,24.859,24.854,24.866,24.873,24.867,24.86,24.862,24.854,7,4.186
A0067885B3 171958 T0158A 200910,A0067885B3 171958 S0158A 200910,16.537,16.572,16.519,16.514,16.496,16.488,16.529,16.51,16.508,24.865,24.862,24.859,24.874,24.876,24.871,24.865,24.862,24.859,7,4.186
A0067885B3 171958 T0159A 200910,A0067885B3 171958 S0159A 200910,16.556,16.57,16.546,16.531,16.535,16.511,16.537,16.551,16.534,24.87,24.865,24.861,24.878,24.875,24.874,24.867,24.862,24.86,7,4.186
A0067885B3 171958 T0160A 200910,A0067885B3 171958 S0160A 200910,16.521,16.562,16.521,16.497,16.494,16.5,16.524,16.504,16.52,24.858,24.856,24.853,24.865,24.87,24.865,24.857,24.855,24.853,7,4.186
A0067885B3 171958 T0161A 200910,A0067885B3 171958 S0161A 200910,16.512,16.56,16.523,16.492,16.496,16.511,16.529,16.501,16.533,24.866,24.861,24.86,24.876,24.877,24.873,24.866,24.862,24.862,2,4.175
A0067885B3 171958 T0162A 200910,A0067885B3 171958 S0162A 200910,16.538,16.565,16.539,16.514,16.518,16.504,16.534,16.527,16.525,24.861,24.858,24.854,24.864,24.872,24.865,24.857,24.861,24.854,7,4.186
A0067885B3 171958 T0163A 200910,A0067885B3 171958 S0163A 200910,16.524,16.563,16.538,16.484,16.479,16.526,16.511,16.476,16.536,24.866,24.862,24.861,24.871,24.878,24.873,24.862,24.865,24.863,7,4.186
A0067885B3 171958 T0164A 200910,A0067885B3 171958 S0164A 200910,16.548,16.568,16.539,16.534,16.511,16.53,16.549,16.515,16.551,24.863,24.859,24.853,24.871,24.874,24.869,24.859,24.862,24.857,7,4.186
A0067885B3 171958 T0165A 200910,A0067885B3 171958 S0165A 200910,16.526,16.513,16.524,16.477,16.43,16.474,16.502,16.437,16.505,24.862,24.857,24.855,24.872,24.874,24.868,24.861,24.862,24.858,7,4.186
A0067885B3 171958 T0166A 200910,A0067885B3 171958 S0166A 200910,16.539,16.564,16.517,16.541,16.499,16.505,16.546,16.532,16.515,24.863,24.86,24.859,24.873,24.874,24.872,24.862,24.862,24.858,7,4.186
A0067885B3 171958 T0167A 200910,A0067885B3 171958 S0167A 200910,16.515,16.556,16.557,16.516,16.476,16.535,16.552,16.49,16.546,24.86,24.856,24.855,24.874,24.877,24.87,24.863,24.862,24.86,7,4.186
A0067885B3 171958 T0168A 200910,A0067885B3 171958 S0168A 200910,16.528,16.545,16.535,16.487,16.473,16.494,16.518,16.475,16.526,24.864,24.866,24.861,24.874,24.878,24.875,24.864,24.863,24.861,2,4.175
A0067885B3 171958 T0169A 200910,A0067885B3 171958 S0169A 200910,16.55,16.553,16.541,16.518,16.501,16.505,16.535,16.519,16.526,24.867,24.865,24.857,24.876,24.878,24.875,24.865,24.865,24.861,7,4.186
A0067885B3 171958 T0170A 200910,A0067885B3 171958 S0170A 200910,16.539,16.578,16.541,16.529,16.515,16.528,16.555,16.52,16.547,24.858,24.854,24.848,24.868,24.869,24.864,24.852,24.947,24.852,7,4.186
A0067885B3 171958 T0171A 200910,A0067885B3 171958 S0171A 200910,16.543,16.545,16.533,16.531,16.491,16.531,16.539,16.52,16.546,24.856,24.85,24.853,24.87,24.872,24.868,24.862,24.861,24.86,2,4.175
A0067885B3 171958 T0172A 200910,A0067885B3 171958 S0172A 200910,16.537,16.564,16.535,16.535,16.525,16.513,16.554,16.546,16.532,24.86,24.858,24.854,24.87,24.867,24.866,24.859,24.859,24.858,7,4.186
A0067885B3 171958 T0173A 200910,A0067885B3 171958 S0173A 200910,16.549,16.543,16.532,16.547,16.5,16.503,16.56,16.508,16.531,24.864,24.861,24.856,24.873,24.877,24.872,24.863,24.863,24.862,2,4.175
A0067885B3 171958 T0174A 200910,A0067885B3 171958 S0174A 200910,16.54,16.549,16.544,16.524,16.522,16.523,16.559,16.525,16.535,24.864,24.862,24.859,24.872,24.876,24.875,24.865,24.863,24.863,7,4.186
A0067885B3 171958 T0175A 200910,A0067885B3 171958 S0175A 200910,16.526,16.544,16.525,16.518,16.498,16.522,16.53,16.535,16.525,24.865,24.863,24.858,24.87,24.876,24.873,24.861,24.861,24.86,10,4.192
A0067885B3 171958 T0176A 200910,A0067885B3 171958 S0176A 200910,16.549,16.543,16.535,16.539,16.489,16.518,16.557,16.507,16.528,24.863,24.858,24.855,24.87,24.871,24.87,24.859,24.859,24.854,2,4.175
A0067885B3 171958 T0177A 200910,A0067885B3 171958 S0177A 200910,16.547,16.541,16.52,16.528,16.487,16.522,16.558,16.487,16.547,24.864,24.859,24.86,24.872,24.875,24.872,24.862,24.862,24.861,2,4.175
A0067885B3 171958 T0178A 200910,A0067885B3 171958 S0178A 200910,16.533,16.576,16.54,16.545,16.538,16.521,16.565,16.547,16.537,24.866,24.859,24.857,24.87,24.872,24.868,24.86,24.864,24.856,7,4.186
A0067885B3 171958 T0179A 200910,A0067885B3 171958 S0179A 200910,16.523,16.575,16.54,16.529,16.512,16.54,16.544,16.526,16.552,24.865,24.861,24.861,24.872,24.871,24.871,24.86,24.859,24.857,2,4.175
A0067885B3 171958 T0180A 200910,A0067885B3 171958 S0180A 200910,16.55,16.554,16.551,16.558,16.509,16.503,16.574,16.517,16.533,24.866,24.862,24.86,24.87,24.875,24.871,24.861,24.86,24.86,2,4.175
A0067885B3 171958 T0181A 200910,A0067885B3 171958 S0181A 200910,16.548,16.55,16.556,16.508,16.492,16.492,16.523,16.507,16.515,24.866,24.864,24.86,24.878,24.878,24.876,24.864,24.866,24.862,7,4.186
A0067885B3 171958 T0182A 200910,A0067885B3 171958 S0182A 200910,16.529,16.549,16.546,16.496,16.496,16.51,16.521,16.511,16.525,24.868,24.859,24.863,24.874,24.872,24.873,24.862,24.859,24.861,2,4.175
A0067885B3 171958 T0183A 200910,A0067885B3 171958 S0183A 200910,16.547,16.562,16.539,16.558,16.534,16.54,16.576,16.553,16.558,24.866,24.859,24.856,24.871,24.874,24.869,24.86,24.861,24.858,2,4.175
A0067885B3 171958 T0184A 200910,A0067885B3 171958 S0184A 200910,16.542,16.556,16.525,16.54,16.505,16.502,16.561,16.492,16.545,24.869,24.864,24.863,24.873,24.879,24.878,24.866,24.861,24.864,7,4.186
A0067885B3 171958 T0185A 200910,A0067885B3 171958 S0185A 200910,16.552,16.562,16.556,16.52,16.518,16.535,16.55,16.525,16.552,24.863,24.861,24.856,24.871,24.876,24.869,24.86,24.863,24.859,2,4.175
A0067885B3 171958 T0186A 200910,A0067885B3 171958 S0186A 200910,16.544,16.57,16.565,16.516,16.517,16.523,16.547,16.522,16.533,24.861,24.861,24.857,24.87,24.875,24.869,24.863,24.863,24.859,2,4.175
A0067885B3 171958 T0187A 200910,A0067885B3 171958 S0187A 200910,16.549,16.55,16.537,16.52,16.506,16.517,16.534,16.531,16.53,24.869,24.867,24.86,24.876,24.875,24.875,24.864,24.861,24.863,2,4.175
A0067885B3 171958 T0188A 200910,A0067885B3 171958 S0188A 200910,16.524,16.56,16.523,16.487,16.474,16.489,16.524,16.479,16.508,24.859,24.86,24.855,24.864,24.87,24.866,24.85,24.853,24.847,2,4.175
A0067885B3 171958 T0189A 200910,A0067885B3 171958 S0189A 200910,16.533,16.552,16.531,16.5,16.509,16.514,16.526,16.519,16.531,24.864,24.859,24.857,24.868,24.871,24.87,24.857,24.859,24.855,7,4.186
A0067885B3 171958 T0190A 200910,A0067885B3 171958 S0190A 200910,16.553,16.547,16.542,16.501,16.487,16.488,16.519,16.507,16.511,24.866,24.866,24.861,24.876,24.881,24.877,24.865,24.866,24.863,2,4.175
A0067885B3 171958 T0191A 200910,A0067885B3 171958 S0191A 200910,16.566,16.562,16.556,16.521,16.506,16.532,16.536,16.528,16.547,24.85,24.848,24.843,24.857,24.862,24.856,24.844,24.845,24.843,7,4.186
A0067885B3 171958 T0192A 200910,A0067885B3 171958 S0192A 200910,16.556,16.59,16.541,16.534,16.51,16.526,16.553,16.528,16.543,24.864,24.862,24.86,24.873,24.878,24.873,24.863,24.864,24.862,7,4.186
A0067885B3 171958 T0193A 200910,A0067885B3 171958 S0193A 200910,16.56,16.565,16.529,16.546,16.499,16.536,16.549,16.527,16.552,24.867,24.862,24.858,24.878,24.876,24.876,24.864,24.865,24.862,2,4.175
A0067885B3 171958 T0194A 200910,A0067885B3 171958 S0194A 200910,16.554,16.56,16.567,16.512,16.503,16.518,16.523,16.517,16.542,24.86,24.858,24.854,24.865,24.869,24.866,24.854,24.853,24.851,2,4.175
A0067885B3 171958 T0195A 200910,A0067885B3 171958 S0195A 200910,16.52,16.558,16.523,16.501,16.512,16.487,16.531,16.518,16.501,24.861,24.857,24.855,24.866,24.866,24.864,24.852,24.854,24.854,2,4.175
A0067885B3 171958 T0196A 200910,A0067885B3 171958 S0196A 200910,16.519,16.585,16.543,16.527,16.527,16.531,16.532,16.557,16.551,24.863,24.863,24.861,24.872,24.874,24.872,24.86,24.86,24.859,7,4.186
A0067885B3 171958 T0197A 200910,A0067885B3 171958 S0197A 200910,16.563,16.585,16.553,16.569,16.531,16.537,16.574,16.553,16.563,24.863,24.862,24.859,24.875,24.878,24.875,24.868,24.865,24.863,0,4.169
A0067885B3 171958 T0198A 200910,A0067885B3 171958 S0198A 200910,16.555,16.559,16.571,16.556,16.543,16.564,16.577,16.564,16.568,24.86,24.853,24.856,24.859,24.864,24.861,24.85,24.852,24.85,7,4.186
A0067885B3 171958 T0199A 200910,A0067885B3 171958 S0199A 200910,16.553,16.539,16.553,16.561,16.495,16.522,16.559,16.521,16.548,24.85,24.846,24.847,24.858,24.861,24.854,24.846,24.849,24.845,2,4.175
A0067885B3 171958 T0200A 200910,A0067885B3 171958 S0200A 200910,16.56,16.576,16.538,16.561,16.516,16.544,16.566,16.54,16.575,24.867,24.862,24.862,24.871,24.876,24.873,24.863,24.863,24.862,7,4.186
A0067885B3 171958 T0201A 200910,A0067885B3 171958 S0201A 200910,16.547,16.531,16.54,16.462,16.49,16.474,16.492,16.492,16.506,24.86,24.853,24.851,24.861,24.863,24.862,24.85,24.846,24.846,7,4.186
A0067885B3 171958 T0202A 200910,A0067885B3 171958 S0202A 200910,16.542,16.564,16.532,16.502,16.497,16.485,16.526,16.513,16.511,24.856,24.85,24.853,24.862,24.862,24.863,24.847,24.866,24.846,0,4.169
A0067885B3 171958 T0203A 200910,A0067885B3 171958 S0203A 200910,16.541,16.554,16.54,16.526,16.492,16.55,16.543,16.526,16.554,24.866,24.861,24.859,24.872,24.876,24.872,24.863,24.865,24.86,7,4.186
A0067885B3 171958 T0204A 200910,A0067885B3 171958 S0204A 200910,16.553,16.565,16.542,16.525,16.529,16.517,16.534,16.552,16.542,24.849,24.846,24.844,24.858,24.861,24.857,24.851,24.85,24.846,7,4.186
A0067885B3 171958 T0205A 200910,A0067885B3 171958 S0205A 200910,16.537,16.548,16.528,16.532,16.499,16.524,16.534,16.534,16.542,24.858,24.85,24.852,24.863,24.866,24.862,24.856,24.853,24.848,2,4.175
A0067885B3 171958 T0206A 200910,A0067885B3 171958 S0206A 200910,16.542,16.565,16.523,16.519,16.505,16.498,16.539,16.512,16.534,24.851,24.85,24.845,24.862,24.862,24.859,24.85,24.845,24.847,7,4.186
A0067885B3 171958 T0207A 200910,A0067885B3 171958 S0207A 200910,16.539,16.555,16.541,16.509,16.496,16.516,16.512,16.525,16.537,24.856,24.852,24.845,24.866,24.864,24.859,24.851,24.851,24.845,7,4.186
A0067885B3 171958 T0208A 200910,A0067885B3 171958 S0208A 200910,16.533,16.563,16.531,16.514,16.489,16.498,16.538,16.504,16.519,24.853,24.853,24.845,24.861,24.863,24.859,24.851,24.85,24.847,2,4.175
A0067885B3 171958 T0209A 200910,A0067885B3 171958 S0209A 200910,16.538,16.558,16.533,16.516,16.52,16.502,16.531,16.53,16.534,24.861,24.858,24.854,24.869,24.872,24.868,24.857,24.859,24.855,7,4.186
A0067885B3 171958 T0210A 200910,A0067885B3 171958 S0210A 200910,16.541,16.558,16.502,16.528,16.509,16.489,16.537,16.527,16.519,24.854,24.854,24.849,24.862,24.866,24.862,24.851,24.851,24.849,7,4.186
A0067885B3 171958 T0211A 200910,A0067885B3 171958 S0211A 200910,16.554,16.587,16.541,16.549,16.557,16.54,16.572,16.564,16.566,24.869,24.866,24.864,24.878,24.884,24.881,24.869,24.868,24.867,2,4.175
A0067885B3 171958 T0212A 200910,A0067885B3 171958 S0212A 200910,16.553,16.576,16.572,16.524,16.537,16.584,16.539,16.575,16.59,24.868,24.861,24.858,24.874,24.879,24.869,24.867,24.865,24.856,2,4.175
A0067885B3 171958 T0213A 200910,A0067885B3 171958 S0213A 200910,16.535,16.568,16.555,16.518,16.544,16.586,16.551,16.561,16.592,24.85,24.855,24.852,24.869,24.875,24.869,24.862,24.862,24.859,7,4.186
A0067885B3 171958 T0214A 200910,A0067885B3 171958 S0214A 200910,16.541,16.557,16.55,16.532,16.514,16.543,16.565,16.514,16.562,24.857,24.853,24.849,24.865,24.87,24.865,24.85,24.85,24.843,2,4.175
A0067885B3 171958 T0215A 200910,A0067885B3 171958 S0215A 200910,16.552,16.564,16.548,16.55,16.548,16.542,16.561,16.566,16.566,24.854,24.854,24.853,24.868,24.874,24.868,24.857,24.859,24.857,2,4.175
A0067885B3 171958 T0216A 200910,A0067885B3 171958 S0216A 200910,16.547,16.566,16.564,16.534,16.519,16.575,16.556,16.537,16.587,24.849,24.845,24.845,24.856,24.861,24.857,24.846,24.849,24.844,7,4.186
A0067885B3 171958 T0217A 200910,A0067885B3 171958 S0217A 200910,16.558,16.582,16.579,16.539,16.555,16.561,16.568,16.557,16.582,24.863,24.861,24.857,24.87,24.874,24.868,24.859,24.861,24.855,2,4.175
A0067885B3 171958 T0218A 200910,A0067885B3 171958 S0218A 200910,16.551,16.58,16.556,16.552,16.527,16.57,16.581,16.529,16.585,24.862,24.857,24.855,24.867,24.872,24.868,24.859,24.859,24.857,2,4.175
A0067885B3 171958 T0219A 200910,A0067885B3 171958 S0219A 200910,16.547,16.574,16.555,16.519,16.581,16.565,16.557,16.529,16.586,24.856,24.855,24.851,24.865,24.871,24.866,24.86,24.859,24.855,7,4.186
A0067885B3 171958 T0220A 200910,A0067885B3 171958 S0220A 200910,16.544,16.553,16.52,16.492,16.481,16.472,16.523,16.49,16.495,24.864,24.859,24.858,24.873,24.875,24.872,24.863,24.862,24.859,2,4.175
A0067885B3 171958 T0221A 200910,A0067885B3 171958 S0221A 200910,16.532,16.553,16.553,16.507,16.508,16.565,16.537,16.52,16.581,24.864,24.861,24.858,24.874,24.876,24.872,24.862,24.863,24.859,2,4.175
A0067885B3 171958 T0222A 200910,A0067885B3 171958 S0222A 200910,16.542,16.562,16.549,16.517,16.522,16.53,16.555,16.526,16.544,24.864,24.863,24.859,24.874,24.875,24.871,24.862,24.863,24.862,7,4.186
A0067885B3 171958 T0223A 200910,A0067885B3 171958 S0223A 200910,16.541,16.574,16.534,16.562,16.518,16.514,16.566,16.538,16.544,24.866,24.862,24.858,24.871,24.874,24.871,24.859,24.859,24.854,1,4.172
A0067885B3 171958 T0224A 200910,A0067885B3 171958 S0224A 200910,16.549,16.533,16.523,16.508,16.462,16.476,16.527,16.481,16.5,24.865,24.868,24.86,24.873,24.881,24.875,24.864,24.864,24.862,2,4.175
A0067885B3 171958 T0225A 200910,A0067885B3 171958 S0225A 200910,16.547,16.566,16.541,16.515,16.54,16.518,16.533,16.549,16.539,24.858,24.856,24.852,24.867,24.87,24.869,24.857,24.858,24.855,2,4.175
A0067885B3 171958 T0226A 200910,A0067885B3 171958 S0226A 200910,16.58,16.582,16.581,16.584,16.515,16.584,16.597,16.547,16.592,24.866,24.864,24.857,24.872,24.876,24.87,24.865,24.861,24.861,2,4.175
A0067885B3 171958 T0227A 200910,A0067885B3 171958 S0227A 200910,16.547,16.551,16.525,16.557,16.54,16.555,16.568,16.564,16.572,24.866,24.861,24.86,24.873,24.876,24.875,24.863,24.865,24.861,2,4.175
A0067885B3 171958 T0228A 200910,A0067885B3 171958 S0228A 200910,16.557,16.582,16.571,16.55,16.547,16.573,16.566,16.547,16.56,24.862,24.863,24.857,24.873,24.878,24.872,24.872,24.865,24.86,2,4.175
