TubeNo,ShaftNo,TB1,TB2,TB3,TC1,TC2,TC3,TD1,TD2,TD3,SA1,SA2,SA3,SB1,SB2,SB3,SC1,SC2,SC3,BallGrade,BallSize
A0067885B3 171958 T0126A 200910,A0067885B3 171958 S0126A 200910,16.559,16.573,16.554,16.568,16.527,16.51,16.581,16.541,16.535,24.861,24.863,24.855,24.869,24.873,24.87,24.862,24.86,24.859,7,4.186
A0067885B3 171958 T0127A 200910,A0067885B3 171958 S0127A 200910,16.535,16.57,16.527,16.514,16.515,16.5,16.548,16.506,16.527,24.866,24.86,24.858,24.872,24.876,24.871,24.864,24.861,24.861,7,4.186
A0067885B3 171958 T0128A 200910,A0067885B3 171958 S0128A 200910,16.543,16.562,16.543,16.563,16.508,16.524,16.547,16.564,16.535,24.865,24.861,24.857,24.872,24.874,24.87,24.864,24.863,24.857,7,4.186
A0067885B3 171958 T0129A 200910,A0067885B3 171958 S0129A 200910,16.539,16.541,16.527,16.52,16.5,16.517,16.545,16.501,16.542,24.864,24.865,24.858,24.873,24.876,24.872,24.861,24.865,24.858,2,4.175
A0067885B3 171958 T0130A 200910,A0067885B3 171958 S0130A 200910,16.534,16.54,16.523,16.527,16.478,16.506,16.545,16.51,16.512,24.865,24.863,24.859,24.873,24.878,24.873,24.866,24.864,24.862,2,4.175
A0067885B3 171958 T0131A 200910,A0067885B3 171958 S0131A 200910,16.521,16.539,16.532,16.509,16.438,16.511,16.532,16.46,16.524,24.861,24.857,24.856,24.865,24.87,24.864,24.862,24.855,24.851,7,4.186
A0067885B3 171958 T0132A 200910,A0067885B3 171958 S0132A 200910,16.54,16.551,16.54,16.527,16.498,16.519,16.546,16.517,16.532,24.859,24.854,24.853,24.867,24.87,24.865,24.859,24.856,24.854,2,4.175
A0067885B3 171958 T0133A 200910,A0067885B3 171958 S0133A 200910,16.547,16.541,16.552,16.535,16.492,16.531,16.535,16.523,16.552,24.854,24.849,24.845,24.863,24.861,24.858,24.847,24.854,24.844,2,4.175
A0067885B3 171958 T0134A 200910,A0067885B3 171958 S0134A 200910,16.535,16.573,16.549,16.528,16.535,16.535,16.541,16.549,16.562,24.866,24.862,24.859,24.873,24.876,24.873,24.864,24.861,24.862,7,4.186
A0067885B3 171958 T0135A 200910,A0067885B3 171958 S0135A 200910,16.554,16.555,16.544,16.529,16.52,16.529,16.553,16.533,16.546,24.869,24.865,24.86,24.873,24.879,24.873,24.865,24.861,24.861,7,4.186
A0067885B3 171958 T0136A 200910,A0067885B3 171958 S0136A 200910,16.555,16.551,16.54,16.554,16.488,16.54,16.563,16.517,16.553,24.863,24.856,24.859,24.871,24.871,24.867,24.86,24.855,24.857,2,4.175
